ID,NAME,TYPE,1ST CAT,2ND CAT,OTHER CATS,SMALL DESC,BIG DESC,IMG,PDF,,
11,HHN SERIES,PUMP,DOMESTIC,SUBMERSIBLE,BOREWELL,"These pumps have better life in acidic water. Better surface finish promises better efficiency and consistent performance. These pumps have better life in sandy water. These are widely used in fire fighting application, continuous water supply for farming, irrigation, water supply for industry and housing complex and so on."," Features :
Pump :
Higher head per stage resulting in achieving same head with less no of stages
Stainless steel pump internals
Better surface finish hence better efficiency and consistent performance
Lesser weight and lesser height resulting into ease in installation and transportation
Better life in sandy water application
Better life in acidic water
Rust free water
Aesthetically appealing
Loading on pipes improves
CED coating cast iron components long life & rust free

Motor :
Withstand wide voltage fluctuations from 200 volts to 440 volts with marginal variation in head and discharge
Even at low voltage, pump delivers water
For longer life Teflon Carbon Thrust bearing
Better protection against sand

Application :
Water supply for Industrial, Housing complex, Hospitals, Commercial Complex, Cinema Halls, Multiplex, Community Supplies, Building & Construction application
Continuous water supply for farming application & irrigation projects
Fire fighting application

Specification :
Head : 1 to 447 meters
Discharge : 740 to 30 LPM
Motor Rating : 2.2 kW to 15 kW(3 Hp to 20 Hp)
Bore Well Size : 150 mm(6"")
Voltage Range : 200V to 440 V",https://www.kirloskarhcjainsales.com/pro/pump/5df1d526217ad.jpg, , ,
12,KP 6-7-8-9 FILLED,PUMP,DOMESTIC,SUBMERSIBLE,BOREWELL,One of the best advantages of these pumps is huge saving in electrical consumption. These are designed to withstand wide voltage fluctuations. Non overloading power characteristics protect the motor. These pumps have dynamically rotating parts. Nitril rubber bushes ensure long life of pump even in muddy water. These are mainly used in fire fighting application. These also find wide usage in continuous supply of water in farming.," Features :
Huge savings in electrical consumption Capability to withstand wide voltage fluctuations Operates equally well with Genset, great help during power cuts Non-overloading power characteristics protect the motor Water lubricated bearings for years of service Design of non-returnable valve reduces friction Minimum possible diameters for easier setting into the borewell Dynamically balanced rotating parts Nitril rubber bushes ensure long life of pump even in muddy water CED coating cast iron components long life & rust free.


Application :
Continuous water supply for farming application and irrigation projects Fire Fighting.


Specification :
Capacity : 2400 to 60 lpm
Head : 5 to 306 m
Power Rating : 2.2 to 33 kW (3 to 45 HP)",https://www.kirloskarhcjainsales.com/pro/pump/5df1d63a06397.jpg, , ,
13,KP4 OIL FILLED,PUMP,DOMESTIC,SUBMERSIBLE,BOREWELL,Available Soon, ,https://www.kirloskarhcjainsales.com/pro/pump/5df1d6fb7f08a.jpg, , ,
14,KS4 WATER FILLED,PUMP,DOMESTIC,SUBMERSIBLE,BOREWELL,It is multi-utility pump features a stainless steel motor body which is easily rewound.,"Features :
Can withstand wide voltage range from 160 to 240 V for single phase and 280 to 440 V for three phase
SS motor body
Motor easily rewound
Less vibration and lower noise level due to dynamically balanced rotating parts
More hygienic operations make it suitable for drinking water applications
Fitted with mechanical seal

Application :
Domestic and industrial water supply
Firefighting systems for small and medium size plants
Sprinkler and drip irrigation systems
Booster systems
Farmhouses, nurseries and Gardens

Specification :
Technical Specification :
Head : 5 to 345 Meters
Capacity : 6 to 420 LPM
Rating : 0.37 Kw/ 0.5 HP to 4.1 Kw / 5.5 HP
Voltage Range : 1 Phase (180 to 240) 3 Phase (280 to 440)

Material of Construction :
Pump Housing : Stainless Steel
NRV : Cast Iron
Suction Housing : Cast Iron
DOL : Cast Iron
Impellers: Noryl
Diffusers : Noryl
Strainer : Stainless Steel ",https://www.kirloskarhcjainsales.com/pro/pump/5df1d7d81b4ee.jpg, , ,
15,KU4 OIL FILLED,PUMP,DOMESTIC,SUBMERSIBLE,BOREWELL,"These pumps are very light weight and compact in size. These pumps have higher efficiency and thus results in lower cost. These can be installed horizontally and can be installed with HDPE/UPVC/GI pipes. These are designed to withstand voltage fluctuations from 280-430 volts. These are widely used in sprinkler and drip water irrigation system, farm houses, nurseries and gardening.

"," Features :
Pump bearings are water lubricated Suitable for high voltage fluctuation Wet type submersible motor Water ? cooled and water lubricated.


Application :
Agriculture Irrigation Sprinkler Water supply.


Specification :
Suitable for borewells diameter 100 mm and more Capacity up to 19 m3 /hr Head up to 249 m Power rating 0.37 kW to 4.0 kW (1 hp to 5 hp).

",https://www.kirloskarhcjainsales.com/pro/pump/5df1d899eedb6.jpg, , ,
16,KOS Three Phase Horizontal,PUMP,DOMESTIC,SUBMERSIBLE,OPENWELL,"Kirloskar KOS pump is an openwell submersible pump in cast iron construction. It has wide applications in agriculture and domestic segment.

"," Features :
Pump bearings are water lubricated
Wet type submersible motor
Water-cooled and water lubricated

Application :
Agriculture
Irrigation
Sprinkler irrigation
Water supply

Specification :
Delivery size : up to 100 mm (4"")
Capacity up : to 110 m3 /hr
Head up : to 64 m
Power rating : 2.2 kW to 7.5 kW (3 hp to 10 hp)",https://www.kirloskarhcjainsales.com/pro/pump/5df1dbd4c7d4e.jpg, https://www.kirloskarhcjainsales.com/pro/pump/KOS.pdf, ,
17,KOSI SINGLE PHASE HORIZONTAL,PUMP,DOMESTIC,SUBMERSIBLE,OPENWELL,"KOSi pumps are designed to address specific needs of the Indian consumers. KOSi pumps boast of a lightweight and compact design, reduce energy consumption significantly and efficiently address electric overload issues caused due to fluctuating power supply. Additionally, customers can enjoy a better performance with KBL’s proven industry standard certification for enhanced reliability."," Features :
High efficiency and energy saving design
Lightweight and Compact design
Wide Voltage Range
Dynamically balanced rotating parts
Replaceable Wearing Parts
Easy maintainable designs
CED – Cathode Electro Deposition Coating
Advanced Water Cooled Motors Designs

Application :
Domestic and community water supply
Gardening and small farm irrigation
Water supply for fountains, sumps and water tanks

Specification :
Head Range : Up to 42 Meters
Discharge Range : Up to 9.7 I/s
Power Ratings : 0.37 to 1.5 kW (0.5 to 2 HP)
Voltage Range : 160 to 240 Volts (Single Phase)
Insulation : B - Class
Protection : IP68",https://www.kirloskarhcjainsales.com/pro/pump/5df1dc7a3ab30.jpg, https://www.kirloskarhcjainsales.com/pro/pump/KOSI.pdf, ,
18,JVS Three Phase Vertical,PUMP,DOMESTIC,SUBMERSIBLE,OPENWELL,"These pumps are designed for underwater applications so need of priming and foot valve. In addition to this, these pumps can withstand wide voltage fluctuations from 200-440 V. These submerged pumps are widely used in wells, sumps, water – tanks as well as Water for gardening, sprinklers and conventional irrigation."," Features :
Designed for underwater applications. No need of priming and foot valve
Easy installation - foundation and insulation platform or pump house not required
Can withstand wide voltage fluctuations from 200 - 440 V
CED coated cast iron components for rust free and longer life

Application :
Pumping water from wells, sumps and water-tanks
Water for gardening, sprinklers and conventional irrigation

Specification :
Head : 14 to 139 meters
Capacity : 120 to 960 lps
Head up : to 64 m
Power rating : 2.2 - 15 HP
Voltage range : 200 - 440 Volts",https://www.kirloskarhcjainsales.com/pro/pump/5df1dd119babd.jpg, , ,
19,CW PUMP,PUMP,DOMESTIC,SUBMERSIBLE,DEWATERING,"CW pump body of stainless steel, impeller is of cast iron, class of insulation F type and ingress protection IP68. This pump widely used in basements of residential and commercial buildings, civil and industrial construction sites, mines and municipal or rural management projects."," Features :
High performance and efficiency
Low energy use - high cost savings
Unmatched protection and low maintenance
Robust construction for higher durability
Complete CED coating

Application :
Pump clean water or drain sewage from
Basements of residential and commercial buildings
Civil and industrial construction sites, and mines
Municipal or rural management projects
Utility pipeline containing solid and fibrous materials

Specification :
Head : 6 to 21 meters
Capacity : 20 to 1 LPS
Power rating : 0.37 kW - 3.7 kW
Voltage range : 300 to 440 volts (3 phase)",https://www.kirloskarhcjainsales.com/pro/pump/5df1ddb60155f.jpg, , ,
20,KV,PUMP,DOMESTIC,VACCUM PUMPS,,"In order to withstand wide voltage fluctuations vacuum pumps are designed with an impeller of high quality of bronze material. These pumps are designed to prevent overloading and motor burning. These pumps come with sturdy casing, provided with foot, suction and delivery nozzles. Widely used in priming of large pumps, extrusion machines, printing machines and so on.

"," Features :
Voltage range from 180V to 240V for single phase Voltage range from 300V to 440V for three phase Class of insulation ?B? Models are with IP-44 protection


Application :
Drying Evaporation Mine Dewatering Evacuation of air from suction pipes and chambers Filtration Sterilisation Condensation Priming of large pumps Twist drilling machine Bottle filling.


Specification :
Vacuum : up to 650 mm
Mercury Air flow rate : up to 55 m3 /hr
Power rating : 0.75 kW to 2.2 kW (1 hp to 2 hp)",https://www.kirloskarhcjainsales.com/pro/pump/5df096989be0d.jpg, https://www.kirloskarhcjainsales.com/pro/pump/5df096989be19.pdf, ,
21,DV,PUMP,DOMESTIC,VACCUM PUMPS,,"These pumps have replaceable wearing parts. Rotors in such types of pumps are outwardly bent with a multi blade design held on shaft by shaft sleeve nuts. These pumps are designed with deep stuffing box for better sealing. These pumps come with sturdy casing, provided with foot, suction and delivery nozzles. Widely used in priming of large pumps, extrusion machines, printing machines and so on.","Features :
Sturdy casing, provided with foot, suction and delivery nozzles Grease lubricated deep groove ball bearings Easy maintenance and spares availability.


Application :
Drying Evaporation Distillation Filtration Evacuation of air from suction pipes and chambers Sterilisation Priming of large pumps Twist drilling machine Bottle filling.


Specification :
Vacuum up : to 650 mm
Mercury Air flow rate : up to 162 m3 /hr
Power rating : 3.7 kW to 7.5 kW (5.0 hp to 10.0 hp)",https://www.kirloskarhcjainsales.com/pro/pump/5df096f842c88.jpg, https://www.kirloskarhcjainsales.com/pro/pump/5df096f842c97.pdf, ,
22,DB PUMPS,PUMP,INDUSTRIAL PUMPS,WATER PUMPS,BACK PULLOUT,"With a back pull out design these pumps are gland packed or mechanically sealed and are used for air conditioning, booster service, fire fighting and sprinkler system. Delivery size varies from 32 mm to 150 mm.","Features :
Conforming to DIN 24255 Back pull-out design Gland packed / Mechanical seal 50HZ / 60 HZ availability.


Application :
Air conditioning Sprinkler systems Fire fighting Booster service Handling clear and turbid water up to 3000 ppm Water supply.


Specification :
Delivery size : up to 150 mm
Capacity : up to 550 m3 /hr
Head : up to 100 m
Temperature : (-) 10 degree C to 100 degree ",https://www.kirloskarhcjainsales.com/pro/pump/5df21408c9da9.jpg, https://www.kirloskarhcjainsales.com/pro/pump/5df21408c9db7.pdf, ,
23,CPHM PUMPS,PUMP,INDUSTRIAL PUMPS,WATER PUMPS,BACK PULLOUT,"These pumps can be driven by electric motor or engine. The impellers are of enclosed type and are balanced statically and dynamically. The casing has axial suction and top centre line delivery. Smooth hydraulic passages ensure high efficiency.

"," Features :
Conforming to DIN 24256, ISO 2858 Back pull-out design Gland Packed / Mechanical Seal 50 Hz / 60 Hz availability.


Application :
Booster Service Fire fighting Air-conditioning.


Specification :
Delivery size : up to 200 mm
Capacity : up to 750 m3 /hr
Head : up to 150 m
Temperature : (-) 30 degree C to 90 degree C",https://www.kirloskarhcjainsales.com/pro/pump/5df214b513670.jpg,https://www.kirloskarhcjainsales.com/pro/pump/5df214b51367c.pdf, ,
24,GK (W) PUMPS,PUMP,INDUSTRIAL PUMPS,WATER PUMPS,BACK PULLOUT,"GK Pumps are conforming to ISO : 5199 & dimensionally are fully conforming to ISO 2858 / EN: 22858. These pumps are horizontal back pullout design, radially split, single stage, centrifugal end suction volute with top centerline delivery. Pump feet are integrally cast with delivery casing. Impeller is of an enclosed type. Bearing housing is fitted with a support foot. Pump shaft is supported by grease lubricated anti friction deep groove ball bearings as a standard scope of supply. GK pumps are mainly used for clean and clear liquids which are free from suspended solids particles.", ,https://www.kirloskarhcjainsales.com/pro/pump/5df21518a2537.jpg,, ,
25,UP PUMPS,PUMP,INDUSTRIAL PUMPS,WATER PUMPS,HORIZONTAL,"These pumps are gland packed and have mechanical seal. These are mainly used in water supply, irrigation, power plants and can have delivery size up to 1100 mm.

"," Features :
Gland packed / Mechanical seal 50HZ / 60 HZ availability.


Application :
Water Supply Irrigation Air-conditioning Power plants Paper, Sugar, Textile mills Fire fighting.


Specification :
Delivery size : up to 1100 mm
Capacity up : to 20,000 m? /hr
Head up : to 160 m
Temperature : (-) 10 degree C to 90 degree C",https://www.kirloskarhcjainsales.com/pro/pump/5df215c0e354c.jpg,https://www.kirloskarhcjainsales.com/pro/pump/5df215c0e355c.pdf, ,
26,DSM PUMPS,PUMP,INDUSTRIAL PUMPS,WATER PUMPS,HORIZONTAL,"These pumps are horizontally mounted having axially split casing. They can either be single stage or double stage. These are designed with single suction with a single volute operating at 50 Hz or 60 Hz. These pumps are used in urban water supply, industries, irrigation, air conditioning and so on.

"," Features :
Gland packed / Mechanical seal 50HZ / 60 HZ availability.


Application :
Water supply Air-conditioning Power plants Mine drainage Irrigation Fire fighting.


Specification :
Delivery size : up to 150 mm
Capacity : up to 470 m3 /hr
Head : up to 180 m
Temperature : (-) 10 degree C to 90 degree C",https://www.kirloskarhcjainsales.com/pro/pump/5df2162ff0db5.jpg,https://www.kirloskarhcjainsales.com/pro/pump/5df2162ff0dc4.pdf, ,
27,IHT PUMPS,PUMP,INDUSTRIAL PUMPS,WATER PUMPS,HORIZONTAL,"iHT pumps are horizontal split case single/double stage centrifugal pumps. All single stage pumps are provided with double suction type impeller. Both single stage/double stage pumps are fitted with DIN 24960 cavity mechanical seal. The impeller/s is/are centrally placed on a sturdy designed shaft and the entire rotating assembly is dynamically balanced to provide a smooth, trouble free, longer and efficient operation.","Features :
Highly efficient - low operation cost Compact size and less floor space.
Low down time - quickly fixable Low prime mover cost.
Lowest pumping - project cost Dual Drive to reduce downtime.

Application :
Suitable for Fire fighting Primary & secondary HVAC application High pressure boosting system Dewatering in mines Cooling tower Recirculation Desalination Water supply Paper plant Steel plant for high pressure injection Sugar plant Industrial utility water application.


Specification :
Delivery Sizes : Upto 300 mm
Discharge : 30-1300 m3 /hr
Head : 30 to 250 m Speed 2900 rpm
Temperature : 8 0 C - 90 0C ",https://www.kirloskarhcjainsales.com/pro/pump/5df2168ecf8e2.jpg,, ,
28,SCT PUMP SET,PUMP,INDUSTRIAL PUMPS,WATER PUMPS,HORIZONTAL,"These are horizontally axially split casing, single stage, double suction or single suction pumps with horizontal shaft and detachable stuffing box called insert with horizontal axially split volute type. The impeller is accurately balanced by double or single suction. These pumps are used in handling water with slight impurities, petroleum refineries, conditioning and refrigeration system and so on."," Features :
Gland packed / Mechanical seal 50HZ / 60 HZ availability.


Application :
Water / Liquids with slight impurities Petroleum refineries Air-conditioning and refrigeration systems Fire protection systems and mining Pump axis horizontal or vertical.


Specification :
Delivery size : up to 350 mm
Capacity : up to 4500 m3 /hr
Head : up to 330 m
Temperature : (-) 10 degree C to 100 degree C",https://www.kirloskarhcjainsales.com/pro/pump/5df21706a87b5.jpg,https://www.kirloskarhcjainsales.com/pro/pump/5df21706a87c2.pdf, ,
29,CF PUMPS,PUMP,INDUSTRIAL PUMPS,WATER PUMPS,MULTISTAGE,"These pumps are of multistage and have a modular construction. These are either gland packed or mechanically sealed and can be of either electrical drive or engine drive. These are widely used in air conditioning, boiler feed, petroleum, chemical and process industries and so on."," Features :
Conforming to DIN 24254 Flanges to DIN 2501 PN 40 Channel Multistage, Modular Construction Self priming Gland Packed / Mechanical Seal Electrical Drive / Engine Drive.


Application :
Petroleum, Chemical and Process Industry Air Conditioning Boiler Feed Domestic Ship/Naval Engineering Liquid with Gas mixture.


Specification :
Delivery size : up to 50 mm
Capacity : up to 20 m3 /hr
Head : up to 315 m
Temperature : (-) 40 degree C to 120 degree C",https://www.kirloskarhcjainsales.com/pro/pump/5df218dd5bada.jpg,, ,
30,RKB PUMPS,PUMP,INDUSTRIAL PUMPS,WATER PUMPS,MULTISTAGE,"RKB is a multistage centrifugal side suction, vertical delivery, horizontal pump with diffuser type casing. Pump shaft is supported in anti-friction bearings. Enclosed impellers are of radial flow type provided with balancing holes. These pumps have standard lubrication of grease and are suitable for coupling with electric motors."," Features :
Gland Packed / Mechanical Seal
50 Hz / 60 Hz availability

Application :
Fire-fighting
Booster Service
Mine Dewatering
Boiler feed

Specification :
Delivery size : up to 250 mm
Capacity : up to 850 m3 /hr
Heads : up to 850 m
Temperature : (-) 40 °C to 140 °C",https://www.kirloskarhcjainsales.com/pro/pump/5df219c7a0f2c.jpg, https://www.kirloskarhcjainsales.com/pro/pump/5df219c7a0f3b.pdf, , 
31,FM / UL Fire Pump Sets,PUMP,INDUSTRIAL PUMPS,FIRE PUMPS,,FM Approved UL Listed Fire Fighting Set. Standard Fire Fighting Set Multi Stage Multi Outlet (MSMO) Fire Fighting Set Containarised Fire Fighting Set.," Application :
Diesel engine driven pumpset Main fire pump
FM approved / UL listed Diesel engine
FM approved / UL listed heat exchanger cooled Engine Controller
FM approved / UL listed Secondary water cooling loop Space saving solution
Multistage multi outlet pump Packaged Fire Pump House Jockey pump with controller mounted on separate skid where controller is FM approved or UL listed Engine Controller
FM approved / UL listed Engine Controller -FM approved / UL listed",https://www.kirloskarhcjainsales.com/pro/pump/5df1f071d596a.jpg,https://www.kirloskarhcjainsales.com/pro/pump/firefightingpackages.pdf, ,
32,KPD PUMPS,PUMP,INDUSTRIAL PUMPS,PROCESS PUMPS,,"These pumps are developed for process applications and are generally conforming to API 610. These are gland packed or mechanically sealed. These pumps are ideal for air conditioning, condensate extraction, distilleries, edible oil sugar and textile. Delivery size ranges from 20 mm to 200 mm."," Features :
Conforming to DIN 24256 and ISO 2858 Back pull-out design Generally conforming to API 610 Gland Packed / Mechanical Seal Also available in vertical execution.


Application :
Air-Conditioning Condensate Extraction Distilleries Edible Oil, Sugar, Textile and Process Industries Water Treatment Plants.


Specification :
Delivery size : up to 200 mm
Capacity : up to 2200 m3 /hr
Head : up to 150 m Temperature up to (-) 50 degree C to 350 degree C",https://www.kirloskarhcjainsales.com/pro/pump/5df1e643bccae.jpg,https://www.kirloskarhcjainsales.com/pro/pump/kpd.pdf, ,
33,VERTICAL SUMP PUMP,PUMP,INDUSTRIAL PUMPS,PROCESS PUMPS,,Kirloskar KPDS is sump pump for process application. It has wide range of application in various chemical process industries for pit depth upto 5.5 metre.," Features :
Available Soon


Application :
Petrochemicals, Refinery, Fertilizer and Power Industries
Transfer and circulation of acids, alkalis, solvent oil etc
Highly alkaline and highly acidic liquids (with enclosed impeller)
Crystallizing liquids, liquids containing suspended solids, industrial clear effluent

Specification :
Delivery size : from 20 mm to 150 mm
Capacity : 0.5 to 560 m³ /hr
Head : 2.3 m to 150 m
Pit Depth : up to 5.5 m
Temperature : (-) 10 °C to 150 °C",https://www.kirloskarhcjainsales.com/pro/pump/5df1e73da752c.jpg,https://www.kirloskarhcjainsales.com/pro/pump/VERICAL_SUMP-KPDS.pdf, ,
